retailerProductId,name,brand,url,matchedFieldTitles,matchedSnippets,categoryPaths
677364011,Fenjal Intensive Body Shower Creme,Fenjal,https://www.ocado.com/products/677364011/details,dietaryInformation,Suitable for Vegans,events-inspiration/beauty-toiletries-sale/bath-body | health-beauty-personal-care/bath-shower-soap/bath-bombs-salts-oils/bath-essential-oils/bath-shower | health-beauty-personal-care/bath-shower-soap/shower-gel-body-wash/natural-organic-vegan/vegan
677366011,Fenjal Intensive Shower Oil,Fenjal,https://www.ocado.com/products/677366011/details,dietaryInformation,Suitable for Vegans,health-beauty-personal-care/bath-shower-soap/bath-bombs-salts-oils/bath-essential-oils/bath-shower | health-beauty-personal-care/bath-shower-soap/shower-gel-body-wash/natural-organic-vegan/vegan
631848011,Fenjal Sensitive Body Lotion ,Fenjal,https://www.ocado.com/products/631848011/details,dietaryInformation,Suitable for Vegans,health-beauty-personal-care/skin-care/body-moisturisers/body-lotions
631957011,Fenjal Sensitive Body Oil,Fenjal,https://www.ocado.com/products/631957011/details,dietaryInformation,Suitable for Vegans,health-beauty-personal-care/skin-care/body-moisturisers/body-oils
631884011,Fenjal Sensitive Body Shower Creme,Fenjal,https://www.ocado.com/products/631884011/details,dietaryInformation,Suitable for Vegans,health-beauty-personal-care/bath-shower-soap/shower-gel-body-wash/kind-to-skin/sensitive-skin | health-beauty-personal-care/bath-shower-soap/shower-gel-body-wash/natural-organic-vegan/vegan | health-beauty-personal-care/bath-shower-soap/shower-gel-body-wash/shop-by-scent/fresh | health-beauty-personal-care/natural-organic-vegan/vegan/vegan-bath-shower-soap/shower-gel-body-wash
631954011,Fenjal Sensitive Shower Oil,Fenjal,https://www.ocado.com/products/631954011/details,dietaryInformation,Suitable for Vegans,health-beauty-personal-care/bath-shower-soap/shower-gel-body-wash/kind-to-skin/sensitive-skin | health-beauty-personal-care/bath-shower-soap/shower-gel-body-wash/natural-organic-vegan/vegan | health-beauty-personal-care/bath-shower-soap/shower-gel-body-wash/shop-by-scent/fruity
39180011,Fentimans Ginger Beer,Fentimans,https://www.ocado.com/products/39180011/details,features | dietaryInformation,"Fentimans Ginger Beer, UK's No.1 Premium Ginger Beer Brand in the UK*., Botanically brewed with the finest ginger root since 1905., Non – alcoholic., Suitable for vegetarians and vegans., Gluten Free. | Suitable for Vegans",soft-drinks-tea-coffee/fizzy-drinks/ginger-beer-cream-soda/ginger-beer
15463011,Fentimans Mandarin & Seville Orange Jigger,Fentimans,https://www.ocado.com/products/15463011/details,dietaryInformation,Gluten free; Suitable for Vegans,soft-drinks-tea-coffee/adult-soft-drinks/small-bottles | soft-drinks-tea-coffee/fizzy-drinks/orange-fruit-flavours/orange
541659011,Fentimans Pink Ginger,Fentimans,https://www.ocado.com/products/541659011/details,dietaryInformation | detailedDescription,"Gluten free; Suitable for Vegans | The fun younger sibling of our traditional Ginger Beer. Fentimans Pink Ginger has been crafted with a more aromatic ginger root that's distinctively fresh but still packing the same punch we're known for. The cloudy pink liquid is the perfect delicate balance of aromatic ginger with subtle orange infusions. This product is gluten free and suitable for vegans. All natural ingredients. No artificial flavours, preservatives, colours or sweeteners.",soft-drinks-tea-coffee/adult-soft-drinks/large-bottles | soft-drinks-tea-coffee/fizzy-drinks/ginger-beer-cream-soda/ginger-beer
585278011,Fentimans Victorian Lemonade,Fentimans,https://www.ocado.com/products/585278011/details,dietaryInformation,Gluten free; Suitable for Vegans,soft-drinks-tea-coffee/fizzy-drinks/lemonade/cloudy-lemonade
615748011,Filippo Berio Arrabbiata Pasta Sauce,Filippo Berio,https://www.ocado.com/products/615748011/details,features | dietaryInformation,"100% Italian Tomatoes, Made with Filippo Berio extra virgin olive oil, Dedicated to fine Italian flavour, For delicious meals in minutes, Gluten free and lactose free, No preservatives, no flavourings, nothing artificial is added, Suitable for vegan and vegetarian diets | Gluten free; Suitable for Vegans; Suitable for Vegetarians",food-cupboard/cooking-sauces/pasta-sauces/tomato-sauces
646525011,Filippo Berio Arrabbiata Pasta Sauce,Filippo Berio,https://www.ocado.com/products/646525011/details,features | dietaryInformation,"100% Italian Tomatoes, Made with Filippo Berio extra virgin olive oil (3%), Dedicated to fine Italian flavour, For delicious meals in minutes, Gluten free and lactose free, Filippo Berio arrabbiata pasta sauce is suitable for vegan and vegetarian diets | Gluten free; Suitable for Vegans; Suitable for Vegetarians",dietary-lifestyle-world-foods/vegan/food-cupboard | dietary-lifestyle-world-foods/vegetarian/food-cupboard | dietary-lifestyle-world-foods/world-foods/italian/pasta-sauce/pasta-sauce | food-cupboard/cooking-sauces/pasta-sauces/tomato-sauces
615745011,Filippo Berio Basil Pasta Sauce,Filippo Berio,https://www.ocado.com/products/615745011/details,features | dietaryInformation,"100% Italian Tomatoes, Made with Filippo Berio extra virgin olive oil, Dedicated to fine Italian flavour, For delicious meals in minutes, Gluten free and lactose free, No preservatives, no flavourings, nothing artificial is added, Suitable for vegan and vegetarian diets | Gluten free; Suitable for Vegans; Suitable for Vegetarians",food-cupboard/cooking-sauces/pasta-sauces/tomato-sauces
646536011,Filippo Berio Basil Pasta Sauce,Filippo Berio,https://www.ocado.com/products/646536011/details,features | dietaryInformation,"100% Italian Tomatoes, Made with Filippo Berio Extra Virgin Olive Oil (4%), Dedicated to fine Italian flavour, For delicious meals in minutes, No preservatives, no flavourings, nothing artificial is added, Gluten free and lactose free, Filippo Berio tomato & basil pasta sauce is suitable for vegan and vegetarian diets | Gluten free; Suitable for Vegans; Suitable for Vegetarians",dietary-lifestyle-world-foods/vegan/food-cupboard | dietary-lifestyle-world-foods/vegetarian/food-cupboard | dietary-lifestyle-world-foods/world-foods/italian/pasta-sauce/pasta-sauce | food-cupboard/cooking-sauces/pasta-sauces/tomato-sauces
